trip_distance,fare_amount,winter,spring,summer,fall,pickup_datetime,dropoff_datetime,Holiday Proximity,ride_duration,Early morning,Morning,Afternoon,Night
1.22,7.0,0,0,0,1,2019-09-22 01:55:18,2019-09-22 02:02:36,0,0 days 00:07:18.000000000,1,0,0,0
14.55,61.13,1,0,0,0,2019-12-30 21:10:00,2019-12-30 21:49:00,1,0 days 00:39:00.000000000,0,0,0,0
0.74,4.5,1,0,0,0,2019-01-21 11:35:11,2019-01-21 11:39:09,0,0 days 00:03:58.000000000,0,1,0,0
9.7,34.5,1,0,0,0,2019-02-06 11:11:41,2019-02-06 11:50:17,0,0 days 00:38:36.000000000,0,1,0,0
1.64,9.0,1,0,0,0,2019-02-11 19:45:01,2019-02-11 19:56:25,0,0 days 00:11:24.000000000,0,0,0,0
0.5,4.0,1,0,0,0,2019-12-27 13:41:18,2019-12-27 13:44:03,0,0 days 00:02:45.000000000,0,0,1,0
0.97,5.0,1,0,0,0,2019-01-13 22:25:12,2019-01-13 22:29:06,0,0 days 00:03:54.000000000,0,0,0,1
0.56,5.0,0,0,0,1,2019-09-19 17:40:47,2019-09-19 17:46:03,0,0 days 00:05:16.000000000,0,0,1,0
2.23,9.5,0,0,0,1,2019-11-01 22:48:21,2019-11-01 22:59:39,0,0 days 00:11:18.000000000,0,0,0,1
0.57,4.5,1,0,0,0,2019-01-21 14:38:00,2019-01-21 14:41:04,0,0 days 00:03:04.000000000,0,0,1,0
0.96,10.5,0,0,0,1,2019-09-17 08:39:43,2019-09-17 08:55:50,0,0 days 00:16:07.000000000,0,1,0,0
0.6,6.0,0,0,1,0,2019-07-24 07:31:27,2019-07-24 07:37:50,0,0 days 00:06:23.000000000,0,1,0,0
0.6,6.5,0,0,0,1,2019-10-10 12:52:55,2019-10-10 13:00:14,0,0 days 00:07:19.000000000,0,0,0,0
1.2,7.5,0,1,0,0,2019-04-28 17:24:07,2019-04-28 17:33:29,0,0 days 00:09:22.000000000,0,0,1,0
1.03,6.0,0,1,0,0,2019-05-05 11:20:07,2019-05-05 11:25:53,0,0 days 00:05:46.000000000,0,1,0,0
0.51,4.0,0,1,0,0,2019-05-30 22:21:26,2019-05-30 22:24:23,1,0 days 00:02:57.000000000,0,0,0,1
2.56,12.0,0,1,0,0,2019-03-10 00:36:30,2019-03-10 00:51:22,0,0 days 00:14:52.000000000,1,0,0,0
0.65,6.0,0,0,0,1,2019-10-29 10:55:32,2019-10-29 11:01:43,0,0 days 00:06:11.000000000,0,1,0,0
0.5,6.5,0,1,0,0,2019-04-16 10:46:42,2019-04-16 10:54:18,0,0 days 00:07:36.000000000,0,1,0,0
4.82,21.0,1,0,0,0,2019-01-14 09:54:41,2019-01-14 10:22:30,0,0 days 00:27:49.000000000,0,1,0,0
1.64,8.0,0,0,0,1,2019-09-29 20:43:24,2019-09-29 20:52:04,0,0 days 00:08:40.000000000,0,0,0,0
1.02,7.0,1,0,0,0,2019-12-31 22:01:23,2019-12-31 22:09:53,1,0 days 00:08:30.000000000,0,0,0,1
7.77,25.5,0,0,1,0,2019-08-24 10:55:48,2019-08-24 11:20:16,0,0 days 00:24:28.000000000,0,1,0,0
8.45,24.5,0,1,0,0,2019-03-10 11:56:21,2019-03-10 12:13:02,0,0 days 00:16:41.000000000,0,1,0,0
0.5,5.0,1,0,0,0,2019-02-13 13:04:55,2019-02-13 13:09:52,0,0 days 00:04:57.000000000,0,0,1,0
1.1,8.5,0,0,0,1,2019-09-26 20:47:39,2019-09-26 20:59:08,0,0 days 00:11:29.000000000,0,0,0,0
8.33,27.5,1,0,0,0,2019-01-30 04:19:12,2019-01-30 04:45:29,0,0 days 00:26:17.000000000,1,0,0,0
1.77,10.5,1,0,0,0,2019-01-23 13:36:10,2019-01-23 13:49:00,0,0 days 00:12:50.000000000,0,0,1,0
1.83,10.0,0,1,0,0,2019-03-20 12:56:00,2019-03-20 13:07:56,0,0 days 00:11:56.000000000,0,0,0,0
2.64,11.5,0,1,0,0,2019-04-01 17:40:49,2019-04-01 17:54:40,0,0 days 00:13:51.000000000,0,0,1,0
1.05,7.5,0,0,1,0,2019-07-29 19:00:34,2019-07-29 19:09:25,0,0 days 00:08:51.000000000,0,0,0,0
1.64,9.0,1,0,0,0,2019-01-04 08:23:21,2019-01-04 08:34:55,0,0 days 00:11:34.000000000,0,1,0,0
1.47,8.5,0,0,1,0,2019-08-08 21:20:11,2019-08-08 21:30:06,0,0 days 00:09:55.000000000,0,0,0,0
0.6,4.0,0,0,0,1,2019-11-07 22:01:35,2019-11-07 22:03:23,0,0 days 00:01:48.000000000,0,0,0,1
1.0,5.5,0,1,0,0,2019-03-02 14:29:44,2019-03-02 14:33:50,0,0 days 00:04:06.000000000,0,0,1,0
7.47,23.0,0,0,1,0,2019-08-31 16:02:16,2019-08-31 16:25:04,0,0 days 00:22:48.000000000,0,0,1,0
19.2,52.0,0,0,0,1,2019-10-21 22:34:47,2019-10-21 23:14:23,0,0 days 00:39:36.000000000,0,0,0,1
0.7,5.5,0,0,0,1,2019-10-21 18:20:59,2019-10-21 18:26:30,0,0 days 00:05:31.000000000,0,0,0,0
0.6,5.5,0,0,1,0,2019-08-31 17:35:13,2019-08-31 17:41:02,0,0 days 00:05:49.000000000,0,0,1,0
1.05,6.5,1,0,0,0,2019-12-18 09:17:28,2019-12-18 09:24:30,0,0 days 00:07:02.000000000,0,1,0,0
1.54,8.0,0,0,0,1,2019-11-15 06:38:59,2019-11-15 06:47:21,0,0 days 00:08:22.000000000,0,1,0,0
3.63,15.5,1,0,0,0,2019-12-04 20:27:03,2019-12-04 20:46:49,0,0 days 00:19:46.000000000,0,0,0,0
4.5,21.0,0,1,0,0,2019-03-31 00:15:02,2019-03-31 00:44:34,0,0 days 00:29:32.000000000,1,0,0,0
0.5,5.5,0,0,0,1,2019-10-13 13:56:31,2019-10-13 14:01:38,0,0 days 00:05:07.000000000,0,0,1,0
0.71,4.0,0,1,0,0,2019-04-28 19:15:37,2019-04-28 19:17:46,0,0 days 00:02:09.000000000,0,0,0,0
3.66,15.5,0,1,0,0,2019-05-31 19:17:00,2019-05-31 19:38:01,0,0 days 00:21:01.000000000,0,0,0,0
3.46,18.5,0,0,0,1,2019-09-17 15:40:44,2019-09-17 16:07:39,0,0 days 00:26:55.000000000,0,0,1,0
1.54,8.5,0,0,0,1,2019-10-16 23:53:52,2019-10-17 00:03:45,0,0 days 00:09:53.000000000,0,0,0,1
2.85,15.0,0,1,0,0,2019-05-30 09:26:08,2019-05-30 09:47:11,1,0 days 00:21:03.000000000,0,1,0,0
2.8,11.5,1,0,0,0,2019-01-13 02:38:59,2019-01-13 02:50:10,0,0 days 00:11:11.000000000,1,0,0,0
0.86,7.0,0,1,0,0,2019-05-28 21:07:40,2019-05-28 21:16:11,0,0 days 00:08:31.000000000,0,0,0,0
6.8,26.5,0,0,0,1,2019-11-20 07:43:20,2019-11-20 08:16:29,0,0 days 00:33:09.000000000,0,1,0,0
2.7,13.0,0,1,0,0,2019-05-17 10:55:56,2019-05-17 11:12:57,0,0 days 00:17:01.000000000,0,1,0,0
0.69,5.5,0,0,0,1,2019-09-19 10:15:51,2019-09-19 10:21:29,0,0 days 00:05:38.000000000,0,1,0,0
2.1,11.5,1,0,0,0,2019-01-07 10:55:12,2019-01-07 11:10:23,0,0 days 00:15:11.000000000,0,1,0,0
0.82,5.0,0,0,0,1,2019-10-25 07:07:54,2019-10-25 07:11:01,0,0 days 00:03:07.000000000,0,1,0,0
3.14,23.0,1,0,0,0,2019-12-12 20:16:32,2019-12-12 20:55:08,0,0 days 00:38:36.000000000,0,0,0,0
0.98,7.0,0,1,0,0,2019-04-22 18:43:44,2019-04-22 18:52:05,0,0 days 00:08:21.000000000,0,0,0,0
0.6,5.5,1,0,0,0,2019-02-26 15:25:05,2019-02-26 15:31:27,0,0 days 00:06:22.000000000,0,0,1,0
0.43,4.0,0,0,0,1,2019-10-25 23:22:00,2019-10-25 23:24:38,0,0 days 00:02:38.000000000,0,0,0,1
0.56,5.0,1,0,0,0,2019-12-23 13:47:12,2019-12-23 13:51:16,0,0 days 00:04:04.000000000,0,0,1,0
4.65,20.5,0,1,0,0,2019-03-06 07:35:07,2019-03-06 07:59:41,0,0 days 00:24:34.000000000,0,1,0,0
0.7,6.5,0,1,0,0,2019-03-09 01:42:41,2019-03-09 01:50:33,0,0 days 00:07:52.000000000,1,0,0,0
3.4,13.0,0,0,0,1,2019-10-06 11:33:10,2019-10-06 11:47:29,0,0 days 00:14:19.000000000,0,1,0,0
3.8,16.5,0,0,1,0,2019-06-25 20:18:16,2019-06-25 20:39:37,0,0 days 00:21:21.000000000,0,0,0,0
3.53,20.0,0,0,1,0,2019-06-08 13:26:11,2019-06-08 13:57:44,0,0 days 00:31:33.000000000,0,0,1,0
5.1,19.5,0,0,0,1,2019-10-08 19:14:25,2019-10-08 19:37:18,0,0 days 00:22:53.000000000,0,0,0,0
1.5,8.0,0,1,0,0,2019-05-04 16:28:25,2019-05-04 16:36:21,0,0 days 00:07:56.000000000,0,0,1,0
1.4,8.0,0,1,0,0,2019-05-24 20:36:38,2019-05-24 20:45:14,0,0 days 00:08:36.000000000,0,0,0,0
1.61,11.5,1,0,0,0,2019-12-14 13:19:37,2019-12-14 13:37:02,0,0 days 00:17:25.000000000,0,0,1,0
17.7,52.0,0,1,0,0,2019-04-21 08:34:09,2019-04-21 09:04:32,0,0 days 00:30:23.000000000,0,1,0,0
1.2,9.5,0,0,0,1,2019-09-12 09:02:29,2019-09-12 09:15:16,0,0 days 00:12:47.000000000,0,1,0,0
1.59,8.5,1,0,0,0,2019-01-09 12:10:15,2019-01-09 12:19:34,0,0 days 00:09:19.000000000,0,0,0,0
3.0,10.5,0,1,0,0,2019-03-04 23:00:35,2019-03-04 23:07:32,0,0 days 00:06:57.000000000,0,0,0,1
0.6,7.5,0,0,1,0,2019-06-17 15:00:04,2019-06-17 15:10:25,0,0 days 00:10:21.000000000,0,0,1,0
7.7,24.0,0,0,0,1,2019-09-30 04:09:06,2019-09-30 04:29:02,0,0 days 00:19:56.000000000,1,0,0,0
1.0,5.5,1,0,0,0,2019-12-02 21:42:41,2019-12-02 21:47:35,0,0 days 00:04:54.000000000,0,0,0,0
1.74,10.0,1,0,0,0,2019-02-08 08:17:28,2019-02-08 08:30:18,0,0 days 00:12:50.000000000,0,1,0,0
2.4,11.0,0,0,0,1,2019-10-27 20:19:26,2019-10-27 20:33:23,0,0 days 00:13:57.000000000,0,0,0,0
18.41,52.0,1,0,0,0,2019-12-20 14:48:36,2019-12-20 15:59:00,0,0 days 01:10:24.000000000,0,0,1,0
2.34,15.5,0,0,1,0,2019-06-14 11:03:42,2019-06-14 11:26:44,0,0 days 00:23:02.000000000,0,1,0,0
1.71,8.0,0,0,1,0,2019-06-20 02:45:01,2019-06-20 02:53:52,0,0 days 00:08:51.000000000,1,0,0,0
1.4,8.5,0,0,0,1,2019-11-17 22:04:23,2019-11-17 22:14:23,0,0 days 00:10:00.000000000,0,0,0,1
6.28,23.0,0,0,0,1,2019-09-17 22:25:22,2019-09-17 22:50:23,0,0 days 00:25:01.000000000,0,0,0,1
0.7,5.0,0,0,1,0,2019-06-16 14:55:57,2019-06-16 15:00:29,0,0 days 00:04:32.000000000,0,0,1,0
4.15,16.0,0,0,1,0,2019-06-15 15:25:47,2019-06-15 15:44:47,0,0 days 00:19:00.000000000,0,0,1,0
2.18,10.0,0,1,0,0,2019-05-06 10:20:26,2019-05-06 10:31:39,0,0 days 00:11:13.000000000,0,1,0,0
2.04,9.0,1,0,0,0,2019-02-09 02:50:30,2019-02-09 02:59:19,0,0 days 00:08:49.000000000,1,0,0,0
2.36,10.5,1,0,0,0,2019-01-25 19:36:56,2019-01-25 19:48:29,0,0 days 00:11:33.000000000,0,0,0,0
1.3,8.0,0,1,0,0,2019-03-15 19:28:56,2019-03-15 19:38:42,0,0 days 00:09:46.000000000,0,0,0,0
11.67,34.5,0,1,0,0,2019-04-04 00:01:29,2019-04-04 00:28:55,0,0 days 00:27:26.000000000,1,0,0,0
1.7,8.0,1,0,0,0,2019-01-22 22:58:54,2019-01-22 23:06:49,0,0 days 00:07:55.000000000,0,0,0,1
1.57,11.0,1,0,0,0,2019-12-05 08:38:08,2019-12-05 08:53:37,0,0 days 00:15:29.000000000,0,1,0,0
1.6,7.0,0,0,1,0,2019-06-17 00:53:41,2019-06-17 00:59:35,0,0 days 00:05:54.000000000,1,0,0,0
4.6,19.0,0,1,0,0,2019-04-17 22:23:40,2019-04-17 22:49:08,0,0 days 00:25:28.000000000,0,0,0,1
4.92,18.5,0,1,0,0,2019-04-23 18:08:40,2019-04-23 18:29:48,0,0 days 00:21:08.000000000,0,0,0,0
1.3,7.0,0,1,0,0,2019-03-07 20:43:08,2019-03-07 20:49:26,0,0 days 00:06:18.000000000,0,0,0,0
1.12,7.5,0,0,0,1,2019-10-31 14:50:54,2019-10-31 14:59:56,0,0 days 00:09:02.000000000,0,0,1,0
0.65,4.0,1,0,0,0,2019-02-08 17:01:45,2019-02-08 17:04:23,0,0 days 00:02:38.000000000,0,0,1,0
1.33,7.5,0,1,0,0,2019-04-25 18:26:52,2019-04-25 18:35:18,0,0 days 00:08:26.000000000,0,0,0,0
1.0,5.0,0,0,1,0,2019-08-23 01:16:27,2019-08-23 01:19:48,0,0 days 00:03:21.000000000,1,0,0,0
2.7,12.5,0,1,0,0,2019-05-04 22:45:17,2019-05-04 23:02:24,0,0 days 00:17:07.000000000,0,0,0,1
2.1,10.0,0,1,0,0,2019-03-31 13:28:42,2019-03-31 13:40:16,0,0 days 00:11:34.000000000,0,0,1,0
2.4,10.0,0,0,0,1,2019-10-19 00:53:15,2019-10-19 01:03:55,0,0 days 00:10:40.000000000,1,0,0,0
2.96,13.5,0,0,1,0,2019-08-24 15:07:55,2019-08-24 15:25:22,0,0 days 00:17:27.000000000,0,0,1,0
1.33,7.0,0,0,1,0,2019-07-05 01:13:09,2019-07-05 01:19:41,1,0 days 00:06:32.000000000,1,0,0,0
1.6,8.5,0,1,0,0,2019-05-10 21:00:44,2019-05-10 21:09:58,0,0 days 00:09:14.000000000,0,0,0,0
2.5,12.0,0,1,0,0,2019-03-01 17:22:05,2019-03-01 17:38:30,0,0 days 00:16:25.000000000,0,0,1,0
2.03,10.5,0,1,0,0,2019-04-09 19:27:07,2019-04-09 19:41:34,0,0 days 00:14:27.000000000,0,0,0,0
1.24,9.0,0,0,0,1,2019-09-23 08:17:17,2019-09-23 08:29:54,1,0 days 00:12:37.000000000,0,1,0,0
0.79,5.0,0,1,0,0,2019-03-19 06:13:19,2019-03-19 06:17:50,1,0 days 00:04:31.000000000,0,1,0,0
19.39,52.5,0,0,0,1,2019-11-24 18:20:59,2019-11-24 18:57:26,1,0 days 00:36:27.000000000,0,0,0,0
1.69,13.5,0,1,0,0,2019-05-21 12:49:12,2019-05-21 13:09:13,0,0 days 00:20:01.000000000,0,0,0,0
0.89,7.0,1,0,0,0,2019-12-07 21:54:06,2019-12-07 22:04:23,0,0 days 00:10:17.000000000,0,0,0,0
0.5,5.0,0,0,1,0,2019-08-03 11:52:31,2019-08-03 11:57:52,0,0 days 00:05:21.000000000,0,1,0,0
1.61,9.0,0,1,0,0,2019-03-31 17:58:59,2019-03-31 18:09:54,0,0 days 00:10:55.000000000,0,0,1,0
0.5,4.0,1,0,0,0,2019-02-25 10:10:54,2019-02-25 10:13:19,0,0 days 00:02:25.000000000,0,1,0,0
1.67,11.0,0,0,1,0,2019-06-28 11:49:31,2019-06-28 12:04:54,0,0 days 00:15:23.000000000,0,1,0,0
1.7,11.0,1,0,0,0,2019-02-25 15:25:41,2019-02-25 15:41:05,0,0 days 00:15:24.000000000,0,0,1,0
1.0,8.0,0,1,0,0,2019-03-13 18:24:40,2019-03-13 18:35:27,0,0 days 00:10:47.000000000,0,0,0,0
1.42,13.5,1,0,0,0,2019-12-17 10:35:18,2019-12-17 10:56:47,0,0 days 00:21:29.000000000,0,1,0,0
2.4,11.5,1,0,0,0,2019-12-28 12:30:49,2019-12-28 12:45:07,0,0 days 00:14:18.000000000,0,0,0,0
1.42,12.0,0,0,1,0,2019-06-26 14:25:51,2019-06-26 14:43:57,0,0 days 00:18:06.000000000,0,0,1,0
1.7,11.5,0,1,0,0,2019-03-23 17:56:10,2019-03-23 18:13:04,0,0 days 00:16:54.000000000,0,0,1,0
0.52,4.0,0,0,0,1,2019-11-29 20:23:00,2019-11-29 20:26:30,0,0 days 00:03:30.000000000,0,0,0,0
2.99,19.0,0,0,1,0,2019-06-30 18:47:41,2019-06-30 19:16:47,0,0 days 00:29:06.000000000,0,0,0,0
10.93,33.0,0,1,0,0,2019-03-09 03:35:42,2019-03-09 04:02:34,0,0 days 00:26:52.000000000,1,0,0,0
1.2,7.0,1,0,0,0,2019-01-22 14:27:11,2019-01-22 14:35:35,0,0 days 00:08:24.000000000,0,0,1,0
4.63,21.0,0,0,0,1,2019-10-08 08:04:18,2019-10-08 08:34:28,0,0 days 00:30:10.000000000,0,1,0,0
2.1,12.0,0,1,0,0,2019-04-30 11:00:14,2019-04-30 11:17:07,0,0 days 00:16:53.000000000,0,1,0,0
1.02,5.5,1,0,0,0,2019-02-01 06:36:13,2019-02-01 06:40:21,0,0 days 00:04:08.000000000,0,1,0,0
6.4,20.0,0,0,0,1,2019-09-17 01:39:49,2019-09-17 01:58:30,0,0 days 00:18:41.000000000,1,0,0,0
6.51,23.5,0,0,0,1,2019-09-12 00:26:05,2019-09-12 00:54:41,0,0 days 00:28:36.000000000,1,0,0,0
1.12,8.5,1,0,0,0,2019-02-25 19:05:57,2019-02-25 19:17:40,0,0 days 00:11:43.000000000,0,0,0,0
4.38,19.0,0,0,1,0,2019-06-11 12:12:52,2019-06-11 12:36:06,0,0 days 00:23:14.000000000,0,0,0,0
1.2,10.0,0,1,0,0,2019-04-16 16:50:06,2019-04-16 17:04:42,0,0 days 00:14:36.000000000,0,0,1,0
2.84,12.0,0,1,0,0,2019-03-23 17:29:19,2019-03-23 17:43:34,0,0 days 00:14:15.000000000,0,0,1,0
0.84,5.5,1,0,0,0,2019-02-09 15:52:33,2019-02-09 15:57:29,0,0 days 00:04:56.000000000,0,0,1,0
1.4,6.0,0,0,1,0,2019-08-12 15:38:11,2019-08-12 15:42:03,0,0 days 00:03:52.000000000,0,0,1,0
0.77,4.5,0,1,0,0,2019-04-18 07:43:59,2019-04-18 07:47:20,0,0 days 00:03:21.000000000,0,1,0,0
2.39,14.0,0,0,0,1,2019-11-30 13:06:11,2019-11-30 13:29:32,0,0 days 00:23:21.000000000,0,0,1,0
2.4,12.5,0,1,0,0,2019-04-12 18:31:35,2019-04-12 18:47:58,0,0 days 00:16:23.000000000,0,0,0,0
5.2,19.0,0,0,0,1,2019-10-21 00:48:35,2019-10-21 01:10:02,0,0 days 00:21:27.000000000,1,0,0,0
1.67,10.5,0,1,0,0,2019-05-07 18:19:31,2019-05-07 18:34:05,0,0 days 00:14:34.000000000,0,0,0,0
1.05,7.0,1,0,0,0,2019-12-23 17:44:35,2019-12-23 17:52:36,0,0 days 00:08:01.000000000,0,0,1,0
3.3,14.5,0,0,1,0,2019-06-03 22:48:37,2019-06-03 23:04:33,0,0 days 00:15:56.000000000,0,0,0,1
0.4,3.5,0,1,0,0,2019-05-20 01:18:41,2019-05-20 01:20:20,0,0 days 00:01:39.000000000,1,0,0,0
1.89,8.0,0,0,0,1,2019-09-17 11:47:22,2019-09-17 11:54:59,0,0 days 00:07:37.000000000,0,1,0,0
0.81,5.5,0,0,1,0,2019-06-13 21:45:56,2019-06-13 21:51:29,0,0 days 00:05:33.000000000,0,0,0,0
0.69,6.5,1,0,0,0,2019-01-10 17:22:14,2019-01-10 17:29:01,0,0 days 00:06:47.000000000,0,0,1,0
5.76,23.5,0,0,0,1,2019-11-07 10:00:19,2019-11-07 10:29:09,0,0 days 00:28:50.000000000,0,1,0,0
1.46,8.0,0,0,1,0,2019-06-05 23:35:44,2019-06-05 23:44:38,0,0 days 00:08:54.000000000,0,0,0,1
5.0,21.5,0,1,0,0,2019-03-14 22:58:32,2019-03-14 23:29:04,0,0 days 00:30:32.000000000,0,0,0,1
10.1,35.0,0,0,1,0,2019-06-08 23:45:42,2019-06-09 00:23:54,0,0 days 00:38:12.000000000,0,0,0,1
1.3,7.0,0,0,1,0,2019-08-09 18:21:23,2019-08-09 18:27:42,0,0 days 00:06:19.000000000,0,0,0,0
1.01,5.5,1,0,0,0,2019-12-31 10:36:03,2019-12-31 10:40:26,1,0 days 00:04:23.000000000,0,1,0,0
0.6,6.0,0,1,0,0,2019-05-20 16:02:31,2019-05-20 16:08:40,0,0 days 00:06:09.000000000,0,0,1,0
2.46,10.0,1,0,0,0,2019-01-31 21:32:03,2019-01-31 21:41:32,0,0 days 00:09:29.000000000,0,0,0,0
0.87,8.0,1,0,0,0,2019-12-11 19:29:29,2019-12-11 19:39:41,0,0 days 00:10:12.000000000,0,0,0,0
12.8,39.5,0,0,1,0,2019-08-20 23:14:22,2019-08-20 23:52:09,0,0 days 00:37:47.000000000,0,0,0,1
18.13,52.0,0,0,0,1,2019-11-17 14:37:47,2019-11-17 15:26:57,0,0 days 00:49:10.000000000,0,0,1,0
